Id,Model,Age_08_04,Mfg_Month,KM,HP,cc,Quarterly_Tax,Weight,Price (Y),,,,
436,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,49,8,80320,110,1600,85,1070,11290,,,,
437,TOYOTA Corolla 1.4 VVT-i Linea Sol HB 2/3-Doors,49,8,80090,97,1400,69,1030,10750,,,,
438,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,53,4,79800,110,1600,85,1075,10895,,,,
439,?TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,47,10,78785,110,1600,197,1119,11500,,,,
440,?TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,48,9,78600,110,1600,85,1075,9750,,,,
441,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,55,2,77780,110,1600,69,1040,10250,,,,
442,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,49,8,77648,110,1600,69,1030,12500,,,,
443,?TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,54,3,77270,110,1600,69,1035,11950,,,,
444,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,50,7,76167,97,1400,85,1060,10750,,,,
445,?TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,46,11,75249,110,1600,69,1035,11450,,,,
446,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,54,3,75231,110,1600,85,1080,11950,,,,
447,TOYOTA Corolla 1.6 G6 HB 2/3-Doors,48,9,75045,110,1600,85,1055,11750,,,,
448,?TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA AUT4 4/5-Doors,50,7,74849,110,1600,85,1060,10950,,,,
449,?TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,55,2,74715,110,1600,85,1080,11950,,,,
450,?TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,49,8,74656,69,1900,185,1105,10995,,,,
451,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,56,1,74500,97,1400,69,1025,11450,,,,
452,?TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,49,8,74494,110,1600,85,1075,8900,,,,
453,TOYOTA Corolla 1.6 4/5-Doors,50,7,73634,110,1587,85,1075,10500,,,,
454,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,47,10,73403,110,1600,85,1075,11750,,,,
455,?TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,49,8,73175,97,1400,69,1030,11450,,,,
456,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,52,5,73000,110,1600,85,1055,12000,,,,
457,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,50,7,72242,110,1600,85,1070,11950,,,,
458,?TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,53,4,72000,97,1400,69,1025,9850,,,,
459,?TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,54,3,71725,110,1600,69,1035,10950,,,,
460,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,54,3,71276,110,1600,85,1080,10950,,,,
461,TOYOTA Corolla 1.9 D Linea Terra 2/3-Doors,50,7,70440,69,1900,185,1105,8695,,,,
462,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,53,4,70239,110,1600,69,1040,10990,,,,
463,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,55,2,69813,97,1400,69,1025,9500,,,,
464,?TOYOTA Corolla 1.3 16V HATCHB G6 2/3-Doors,49,8,69659,86,1300,69,1025,11950,,,,
465,TOYOTA Corolla 1.4 16V VVT I LIFTB SOL 4/5-Doors,46,11,69574,97,1400,85,1065,10750,,,,
466,?TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,47,10,69000,69,1900,185,1140,8750,,,,
467,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,49,8,68565,110,1600,69,1030,8750,,,,
468,TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,55,2,68520,72,2000,185,1115,11450,,,,
469,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,46,11,68414,97,1400,69,1025,9950,,,,
470,TOYOTA Corolla 1.6 16V WAGON LINEA LUNA Stationwagen,56,1,66777,110,1600,85,1090,11950,,,,
471,?TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,52,5,66527,110,1600,85,1080,13950,,,,
472,?TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,54,3,66063,110,1600,85,1090,11250,,,,
473,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,50,7,65471,97,1400,85,1060,10900,,,,
474,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,56,1,65400,97,1400,69,1025,9750,,,,
475,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,52,5,65170,97,1400,69,1025,9950,,,,
476,TOYOTA Corolla 1.6 sol lb 4/5-Doors,56,1,65000,110,1600,19,1075,11950,,,,
477,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,48,9,64193,110,1600,69,1040,10450,,,,
478,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,54,3,64000,97,1400,69,1025,8950,,,,
479,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,54,3,63792,110,1600,85,1075,10250,,,,
480,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,53,4,63635,110,1600,69,1035,9930,,,,
481,?TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,54,3,63135,110,1600,69,1050,10500,,,,
482,TOYOTA Corolla 1.6 SDN LINEA SOL 4/5-Doors,54,3,63123,110,1600,69,1035,11950,,,,
483,TOYOTA Corolla 1.9 D Wagon Stationwagen,48,9,63000,69,1900,185,1140,11500,,,,
484,TOYOTA Corolla 1.6 SDN LINEA SOL 4/5-Doors,55,2,63000,110,1600,69,1035,11500,,,,
485,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,54,3,62987,110,1600,85,1080,11450,,,,
486,?TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,56,1,62751,110,1600,69,1050,9900,,,,
487,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,54,3,62519,97,1400,69,1025,9500,,,,
488,?TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,50,7,62280,97,1400,85,1060,10500,,,,
489,?TOYOTA Corolla 1.6 VVTI Linea Terra liftback 4/5-Doors,50,7,61672,110,1600,85,1075,10750,,,,
490,TOYOTA Corolla LIFTBACK 1.9 D Linea Terra 4/5-Doors,54,3,61000,69,2000,185,1140,8950,,,,
491,?TOYOTA Corolla 1.6 16V HATCHB S 2/3-Doors,56,1,61000,110,1600,69,1050,12000,,,,
492,TOYOTA Corolla ! 1.6-16v vvt-i sol airco sedan 4/5-Doors,53,4,60558,110,1600,19,1105,9940,,,,
493,?TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,47,10,60348,110,1600,69,1030,10950,,,,
494,?TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,54,3,60239,110,1600,85,1075,10750,,,,
495,?TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,51,6,59000,97,1400,69,1025,9799,,,,
496,TOYOTA Corolla 1.4 VVT-i Linea Luna liftback 4/5-Doors,51,6,58761,97,1300,85,1060,11750,,,,
497,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,54,3,58745,110,1600,69,1035,11950,,,,
498,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,52,5,58596,110,1600,69,1045,11250,,,,
499,?TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,54,3,58530,110,1600,85,1075,11750,,,,
500,TOYOTA Corolla 1.6 16V HATCHB S 2/3-Doors,55,2,58377,110,1600,69,1050,10950,,,,
501,?TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,56,1,58142,110,1600,85,1080,11250,,,,
502,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,53,4,57948,97,1400,69,1025,9950,,,,
503,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,51,6,57645,110,1600,85,1080,9700,,,,
504,?TOYOTA Corolla 1.6 SDN LINEA SOL 4/5-Doors,47,10,57500,110,1600,19,1105,11950,,,,
505,?TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,53,4,57475,110,1600,69,1040,9900,,,,
506,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,55,2,56743,110,1600,69,1045,9990,,,,
507,?TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,48,9,56675,97,1400,69,1025,9475,,,,
508,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,54,3,55877,110,1600,85,1075,11500,,,,
509,TOYOTA Corolla 1.6 VVTI Linea Sol Sedan 4/5-Doors,53,4,55500,110,1600,69,1035,11950,,,,
510,?TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,55,2,54900,97,1400,85,1060,11500,,,,
511,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,50,7,54465,110,1600,85,1075,10500,,,,
512,?TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,46,11,53700,97,1400,85,1060,10900,,,,
513,?TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,52,5,53561,97,1400,85,1060,11700,,,,
514,TOYOTA Corolla 1.6 16v Liftback Linea So 4/5-Doors,51,6,53408,110,1600,85,1080,11900,,,,
515,?TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,51,6,53268,110,1600,85,1080,13950,,,,
516,?TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,49,8,53116,97,1400,69,1025,10950,,,,
517,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,56,1,52448,97,1400,69,1025,10500,,,,
518,TOYOTA Corolla 1.4 HB LINEA TERRA 2/3-Doors,55,2,52149,97,1400,19,1085,10750,,,,
519,TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA 4/5-Doors,55,2,52141,110,1600,85,1070,11950,,,,
520,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,56,1,52000,97,1400,69,1025,10000,,,,
521,?TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,48,9,50967,97,1400,85,1060,10495,,,,
522,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,50,7,50400,110,1600,85,1080,11450,,,,
523,?TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,54,3,50000,97,1400,69,1025,9400,,,,
524,TOYOTA Corolla 1.3 G6 liftback 4/5-Doors,51,6,50000,86,1300,69,1045,11950,,,,
525,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,53,4,49969,110,1600,85,1075,9650,,,,
526,?TOYOTA Corolla 1.6 HB LINEA TERRA 2/3-Doors,49,8,49568,110,1600,19,1105,18950,,,,
527,?TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,51,6,49473,110,1600,85,1055,11450,,,,
528,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,52,5,49432,110,1600,69,1050,10250,,,,
529,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,48,9,49417,110,1600,69,1045,11450,,,,
530,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,54,3,49366,97,1400,69,1025,9950,,,,
531,?TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,56,1,48731,110,1600,85,1055,10500,,,,
532,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,54,3,48370,110,1600,85,1080,13750,,,,
533,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,48,9,48071,97,1400,69,1025,9950,,,,
534,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,54,3,47852,110,1600,69,1030,10250,,,,
535,?TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,54,3,47768,110,1600,85,1055,10850,,,,
536,?TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,52,5,47689,110,1600,85,1075,11895,,,,
537,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,53,4,47451,110,1600,85,1055,12950,,,,
538,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,50,7,47219,110,1600,85,1080,11950,,,,
539,?TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA 4/5-Doors,56,1,47211,110,1600,85,1070,10750,,,,
540,?TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,54,3,46856,97,1400,85,1060,9550,,,,
541,?TOYOTA Corolla 1.3 Linea Terra liftback 4/5-Doors,56,1,46500,86,1300,69,1035,10950,,,,
542,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,52,5,46449,110,1600,69,1035,11750,,,,
543,?TOYOTA Corolla LIFTBACK 1.6 Linea terra 4/5-Doors,47,10,46391,110,1600,85,1075,10950,,,,
544,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,54,3,46230,110,1600,85,1055,12450,,,,
545,?TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,52,5,46029,110,1600,69,1030,10500,,,,
546,?TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,50,7,46000,97,1400,69,1025,10900,,,,
547,?TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,50,7,45900,110,1600,85,1075,12950,,,,
548,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,47,10,45850,97,1400,85,1060,10950,,,,
549,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,56,1,45336,110,1600,85,1080,12500,,,,
550,?TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,55,2,44537,97,1400,69,1025,9950,,,,
551,TOYOTA Corolla 1.3 16V HATCHB G6 2/3-Doors,56,1,43700,86,1300,69,1025,10750,,,,
552,?TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,48,9,43120,97,1400,69,1030,12500,,,,
554,TOYOTA Corolla 1.6 Hatchback 2/3-Doors,49,8,41710,110,1600,69,1040,10450,,,,
555,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,52,5,41700,97,1400,69,1025,10750,,,,
556,?TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,49,8,41636,110,1600,19,1105,12950,,,,
557,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,50,7,41273,97,1400,85,1060,10995,,,,
558,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL AUT4 2/3-Doors,49,8,40836,110,1600,85,1075,11950,,,,
559,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,50,7,40400,97,1400,85,1060,11250,,,,
560,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,47,10,40361,110,1600,85,1090,11950,,,,
561,TOYOTA Corolla 1.3 16V LIFTB G6 4/5-Doors,54,3,40325,86,1300,69,1045,13750,,,,
562,?TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,47,10,40000,110,1600,85,1080,11000,,,,
563,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,50,7,39706,110,1600,85,1080,13500,,,,
564,?TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,54,3,39291,110,1600,69,1040,10950,,,,
565,?TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,54,3,39000,97,1400,69,1025,10750,,,,
566,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,47,10,38900,97,1400,69,1025,8950,,,,
567,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,51,6,38403,110,1600,85,1055,12950,,,,
568,?TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,56,1,37461,97,1400,69,1025,9750,,,,
569,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,54,3,37000,97,1400,69,1025,10900,,,,
570,?TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,55,2,36406,110,1600,69,1035,10995,,,,
571,TOYOTA Corolla 1.4 16V VVT I LIFTB SOL 4/5-Doors,48,9,36005,97,1400,85,1065,10750,,,,
572,?TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,52,5,36000,110,1600,85,1075,10950,,,,
573,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,49,8,36000,110,1600,85,1080,13000,,,,
574,?TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,45,12,36000,110,1600,85,1070,12950,,,,
575,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,52,5,35823,110,1600,85,1075,11500,,,,
576,?TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,56,1,35230,97,1400,69,1025,10950,,,,
577,TOYOTA Corolla 1.6 16V HATCHB LINEA LUNA 2/3-Doors,48,9,35142,110,1600,85,1055,11710,,,,
578,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,49,8,34890,97,1400,69,1025,9980,,,,
579,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,51,6,34882,110,1600,85,1075,12250,,,,
580,?TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,46,11,34000,110,1600,85,1075,11500,,,,
581,TOYOTA Corolla 1.6 16v Liftback Linea Sol 4/5-Doors,56,1,33998,110,1600,85,1080,11950,,,,
582,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,55,2,33230,110,1600,69,1050,11500,,,,
583,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,46,11,33021,110,1600,85,1080,11900,,,,
584,?TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,49,8,31999,97,1400,69,1030,11930,,,,
585,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,52,5,31579,97,1400,69,1025,10500,,,,
586,TOYOTA Corolla 1.4 HB Terra 2/3-Doors,56,1,31000,97,1400,69,1025,8950,,,,
587,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,46,11,30806,97,1400,85,1060,10450,,,,
588,?TOYOTA Corolla 1.3 16V WAGON LINEA TERRA Stationwagen,55,2,30461,86,1300,69,1050,10500,,,,
589,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL AUT4 2/3-Doors,50,7,29686,110,1600,85,1075,12950,,,,
590,?TOYOTA Corolla 1.3 16V HATCHB G6 2/3-Doors,55,2,29650,86,1300,69,1025,9950,,,,
591,?TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,52,5,29500,110,1600,85,1055,12900,,,,
592,TOYOTA Corolla 1.4 HB LINEA TERRA 2/3-Doors,48,9,28656,97,1400,19,1085,9950,,,,
593,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,55,2,27500,97,1400,69,1025,9950,,,,
594,?TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,48,9,26938,110,1600,69,1040,10950,,,,
595,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,53,4,26624,97,1400,85,1060,10950,,,,
596,?TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,47,10,26221,97,1400,69,1025,9950,,,,
597,TOYOTA Corolla LIFTBACK 1.4 16V VVTI TERRA 4/5-Doors,50,7,22648,97,1400,85,1060,10950,,,,
598,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,50,7,22500,97,1400,69,1025,10800,,,,
599,?TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,56,1,19313,97,1400,69,1025,10500,,,,
600,?TOYOTA Corolla 1.6 SDN LINEA TERRA 4/5-Doors,50,7,17619,110,1600,69,1030,10450,,,,
601,?TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,51,6,17069,97,1400,69,1025,10600,,,,
602,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,48,9,15000,97,1400,69,1025,10450,,,,
603,?TOYOTA Corolla 1.4 16V VVT I LIFTB SOL 4/5-Doors,50,7,10210,97,1400,85,1065,12950,,,,
604,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,47,10,5309,110,1600,85,1070,11250,,,,
605,TOYOTA Corolla 2.0 d HB Diesel 2/3-Doors,50,7,1,90,2000,64,1260,7500,,,,
606,TOYOTA Corolla 1.4 VVT-i Terra 2/3-Doors,52,5,31000,97,1398,69,1025,8950,,,,
607,TOYOTA Corolla 2.0 DSL SEDAN LINEA TERRA 4/5-Doors,58,11,205000,72,2000,185,1100,6950,,,,
608,TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,68,1,204250,72,2000,185,1115,7900,,,,
609,TOYOTA Corolla 1.3 16V SEDAN LINEA TERRA 4/5-Doors,68,1,194545,86,1300,69,1000,5950,,,,
610,TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,59,10,190900,72,2000,185,1115,7500,,,,
611,TOYOTA Corolla 2.0 DSL LIFTB LINEA LUNA 4/5-Doors,62,7,183500,72,2000,185,1140,7500,,,,
612,TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,65,4,176184,72,2000,185,1115,6900,,,,
613,TOYOTA Corolla 2.0 DSL SEDAN LINEA TERRA 4/5-Doors,67,2,174833,72,2000,185,1100,5751,,,,
614,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,68,1,155720,86,1300,69,1015,6950,,,,
615,TOYOTA Corolla 1.6 Linea Terra Comfort 4/5-Doors,67,2,155500,110,1600,69,1050,7950,,,,
616,TOYOTA Corolla 2.0 DSL HATCHB LINEA LUNA 2/3-Doors,59,10,154783,72,2000,185,1120,7750,,,,
617,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,64,5,154462,72,2000,185,1135,7950,,,,
618,TOYOTA Corolla 1.6 16V HATCHB G6 2/3-Doors,64,5,150585,110,1600,85,1065,8250,,,,
619,TOYOTA Corolla 2.0diesel Stationwagen,67,2,149000,90,2000,64,1135,6250,,,,
620,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,62,7,147636,72,2000,185,1135,9500,,,,
621,TOYOTA Corolla 2.0D TERRA LIFTBACK 4/5-Doors,59,10,144521,72,2000,64,1135,6900,,,,
622,TOYOTA Corolla 1.6 16V G6 2/3-Doors,64,5,144000,110,1600,72,1065,8450,,,,
623,TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,65,4,140168,72,2000,185,1115,7350,,,,
624,TOYOTA Corolla 1.6 16V WAGON LINEA TERRA Stationwagen,68,1,140000,110,1600,85,1085,8950,,,,
625,TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,60,9,139800,72,2000,185,1115,6900,,,,
626,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,59,10,137050,110,1600,197,1078,8950,,,,
627,TOYOTA Corolla 1.6 16V HATCHB G6 2/3-Doors,61,8,136956,110,1600,85,1065,8750,,,,
628,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,67,2,135337,110,1600,197,1120,7950,,,,
629,TOYOTA Corolla 2.0 DSL HATCHB LINEA LUNA 2/3-Doors,64,5,133769,72,2000,185,1120,8950,,,,
630,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,58,11,133405,72,2000,185,1135,8950,,,,
631,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,65,4,132807,72,2000,185,1135,8950,,,,
632,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,64,5,132393,72,2000,185,1135,7950,,,,
633,TOYOTA Corolla 1.6 16V HATCHB S 2/3-Doors,60,9,130270,110,1600,69,1050,7750,,,,
634,TOYOTA Corolla 2.0D XL Sedan 4/5-Doors,59,10,130000,72,2000,185,1135,7500,,,,
635,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,67,2,127000,72,2000,185,1135,8950,,,,
636,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,67,2,126800,72,2000,185,1135,9800,,,,
637,TOYOTA Corolla 1.6 16V WAGON LINEA TERRA Stationwagen,66,3,126452,110,1600,85,1085,9450,,,,
638,TOYOTA Corolla Sw 20D Linea Terra Stationwagen,62,7,125175,116,2000,185,1150,8950,,,,
639,TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,68,1,125000,72,2000,185,1115,8750,,,,
640,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,61,8,123000,72,2000,185,1135,10500,,,,
641,TOYOTA Corolla 1.3 16V WAGON LINEA TERRA Stationwagen,59,10,121626,86,1300,69,1050,7995,,,,
642,TOYOTA Corolla 1.6 16V WAGON LINEA LUNA Stationwagen,64,5,120400,110,1600,85,1090,10450,,,,
643,TOYOTA Corolla 2.0 DSL SEDAN LINEA TERRA 4/5-Doors,66,3,120000,72,2000,185,1100,9950,,,,
644,TOYOTA Corolla 1.6 16V HATCHB LINEA LUNA 2/3-Doors,68,1,119541,110,1600,85,1055,9950,,,,
645,TOYOTA Corolla 1.6 VVT-i Linea Terra Comfort 4/5-Doors,68,1,119500,110,1600,85,1070,8950,,,,
646,TOYOTA Corolla 1.6 16V SEDAN LINEA TERRA 4/5-Doors,68,1,119289,110,1600,69,1035,7950,,,,
647,TOYOTA Corolla 1.6 16V HATCHB G6 2/3-Doors,57,12,118833,110,1600,85,1065,10950,,,,
648,TOYOTA Corolla 2.0 DSL WAGON LINEA TERRA Stationwagen,64,5,118000,72,2000,185,1150,9950,,,,
649,TOYOTA Corolla 1.6 16V SEDAN LINEA TERRA AUT4 4/5-Doors,68,1,117955,110,1600,85,1065,8600,,,,
650,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,65,4,117609,86,1300,69,1015,7250,,,,
651,TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,68,1,117000,72,2000,185,1115,6950,,,,
652,TOYOTA Corolla 1.3 16V LIFTB G6 4/5-Doors,64,5,116000,86,1300,69,1045,8000,,,,
653,TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA 4/5-Doors,58,11,115715,110,1600,85,1070,9950,,,,
654,TOYOTA Corolla 1.6 16V SEDAN LINEA TERRA 4/5-Doors,60,9,115191,110,1600,197,1079,9450,,,,
